product_name,download_name,new_formatted_name,version,new_formatted_version_major
Fennec,firefox-mobile,fennec,11.0b4,11.0
Fennec,firefox-mobile,fennec,11.0b5,11.0
Fennec,firefox-mobile,fennec,11.0b6,11.0
Fennec,firefox-mobile,fennec,11.0,11.0
Fennec,firefox-mobile,fennec,12.0a1,12.0
Fennec,firefox-mobile,fennec,12.0a2,12.0
Fennec,firefox-mobile,fennec,12.0b1,12.0
Fennec,firefox-mobile,fennec,12.0b2,12.0
Fennec,firefox-mobile,fennec,12.0b3,12.0
Fennec,firefox-mobile,fennec,12.0b4,12.0
Fennec,firefox-mobile,fennec,12.0b5,12.0
Fennec,firefox-mobile,fennec,12.0b6,12.0
Fennec,firefox-mobile,fennec,12.0,12.0
Fennec,firefox-mobile,fennec,13.0a1,13.0
Fennec,firefox-mobile,fennec,13.0a2,13.0
Fennec,firefox-mobile,fennec,13.0b1,13.0
Fennec,firefox-mobile,fennec,13.0b2,13.0
Fennec,firefox-mobile,fennec,13.0,13.0
Fennec,firefox-mobile,fennec,14.0a1,14.0
Fennec,firefox-mobile,fennec,14.0a2,14.0
Fennec,firefox-mobile,fennec,14.0b1,14.0
Fennec,firefox-mobile,fennec,14.0b2,14.0
Fennec,firefox-mobile,fennec,14.0b3,14.0
Fennec,firefox-mobile,fennec,14.0b4,14.0
Fennec,firefox-mobile,fennec,14.0b5,14.0
Fennec,firefox-mobile,fennec,14.0b6,14.0
Fennec,firefox-mobile,fennec,14.0b7,14.0
Fennec,firefox-mobile,fennec,14.0b8,14.0
Fennec,firefox-mobile,fennec,14.0b10,14.0
Fennec,firefox-mobile,fennec,14.0b11,14.0
Fennec,firefox-mobile,fennec,14.0,14.0
Fennec,firefox-mobile,fennec,15.0a1,15.0
Fennec,firefox-mobile,fennec,15.0a2,15.0
Fennec,firefox-mobile,fennec,16.0a1,16.0

SeaMonkey,seamonkey,seamonkey,2.6,2.6
SeaMonkey,seamonkey,seamonkey,2.6.1,2.6
SeaMonkey,seamonkey,seamonkey,2.7b1,2.7
SeaMonkey,seamonkey,seamonkey,2.7b2,2.7
SeaMonkey,seamonkey,seamonkey,2.7b3,2.7
SeaMonkey,seamonkey,seamonkey,2.7b4,2.7
SeaMonkey,seamonkey,seamonkey,2.7b5,2.7
SeaMonkey,seamonkey,seamonkey,2.7,2.7
SeaMonkey,seamonkey,seamonkey,2.7.1,2.7
SeaMonkey,seamonkey,seamonkey,2.7.2,2.7
SeaMonkey,seamonkey,seamonkey,2.8b1,2.8
SeaMonkey,seamonkey,seamonkey,2.8b2,2.8
SeaMonkey,seamonkey,seamonkey,2.8b3,2.8
SeaMonkey,seamonkey,seamonkey,2.8b4,2.8
SeaMonkey,seamonkey,seamonkey,2.8b5,2.8
SeaMonkey,seamonkey,seamonkey,2.8b6,2.8
SeaMonkey,seamonkey,seamonkey,2.8,2.8
SeaMonkey,seamonkey,seamonkey,2.9b1,2.9
SeaMonkey,seamonkey,seamonkey,2.9b2,2.9
SeaMonkey,seamonkey,seamonkey,2.9b3,2.9
SeaMonkey,seamonkey,seamonkey,2.9b4,2.9
SeaMonkey,seamonkey,seamonkey,2.9,2.9
SeaMonkey,seamonkey,seamonkey,2.9.1,2.9
SeaMonkey,seamonkey,seamonkey,2.10,2.10
SeaMonkey,seamonkey,seamonkey,2.10.1,2.10
SeaMonkey,seamonkey,seamonkey,2.10b1,2.10
SeaMonkey,seamonkey,seamonkey,2.10b2,2.10
SeaMonkey,seamonkey,seamonkey,2.10b3,2.10
SeaMonkey,seamonkey,seamonkey,2.11b1,2.11
SeaMonkey,seamonkey,seamonkey,2.11b2,2.11
SeaMonkey,seamonkey,seamonkey,2.11b3,2.11
SeaMonkey,seamonkey,seamonkey,2.11b4,2.11
SeaMonkey,seamonkey,seamonkey,2.11b5,2.11

